,id,ra,dec,host_ra,host_dec,host_name
0,614117,150.43479151899297,2.462610033641731,150.43732,2.46392,Huong-Giang
1,614192,150.45092213957858,2.457498557540355,150.45459,2.455994,Thu-Bon
3,614284,150.43990467873942,2.4623422303607203,150.43732,2.46392,Huong-Giang
4,614318,150.4394527848457,2.4628028773507977,150.43732,2.46392,Huong-Giang
5,614521,150.43498609478053,2.46606877397473,150.43732,2.46392,Huong-Giang
6,614660,150.44101910900008,2.4649617170321125,150.43732,2.46392,Huong-Giang
2,641810,150.43924907274896,2.46244229395118,150.43732,2.46392,Huong-Giang
8,659472,150.4575985430771,2.4278950017000698,150.4612,2.429547,Dong-Nai
9,659600,150.46222769569133,2.427492272478133,150.4612,2.429547,Dong-Nai
10,659694,150.45751775491104,2.4299732506506024,150.4612,2.429547,Dong-Nai
12,659753,150.4637808709928,2.42827097899633,150.4612,2.429547,Dong-Nai
13,659914,150.45999500331462,2.4311550253085614,150.4612,2.429547,Dong-Nai
15,661790,150.4580297516717,2.453779059568166,150.45459,2.455994,Thu-Bon
16,661825,150.4558145351515,2.4550570934000135,150.45459,2.455994,Thu-Bon
17,661910,150.4526701569536,2.457093661985949,150.45459,2.455994,Thu-Bon
18,662039,150.4542304119719,2.4577650030961555,150.45459,2.455994,Thu-Bon
19,662092,150.4525310883153,2.4589724609656347,150.45459,2.455994,Thu-Bon
7,680426,150.4603440825616,2.4261831506570615,150.4612,2.429547,Dong-Nai
11,680812,150.45722066297657,2.430475040132897,150.4612,2.429547,Dong-Nai
14,683386,150.457598919319,2.4537255089481955,150.45459,2.455994,Thu-Bon
20,756228,150.06120015783387,2.3746272682231964,150.06149,2.37868,Hong
21,756324,150.0621863944692,2.3752308893787197,150.06149,2.37868,Hong
22,756381,150.05860749592134,2.377135428809643,150.06149,2.37868,Hong
24,756542,150.06446107839014,2.3764584982060812,150.06149,2.37868,Hong
25,756791,150.0621220714542,2.3799503830621935,150.06149,2.37868,Hong
26,756809,150.06204554243652,2.38006265694344,150.06149,2.37868,Hong
27,756931,150.06130922780542,2.381544864044232,150.06149,2.37868,Hong
28,756960,150.06632922505685,2.3801244793529985,150.06671,2.3823645,Gianh
29,756994,150.06579346486325,2.3807226965383426,150.06671,2.3823645,Gianh
30,757025,150.06659803361558,2.380855916549581,150.06671,2.3823645,Gianh
31,757035,150.06993613998245,2.3798080412536575,150.06671,2.3823645,Gianh
33,757177,150.06794106365746,2.3821448528082114,150.06671,2.3823645,Gianh
34,757208,150.06760167862964,2.3826430325056793,150.06671,2.3823645,Gianh
35,757258,150.07053504067514,2.3820629724575646,150.06671,2.3823645,Gianh
37,757350,150.0702960222559,2.3830360206853185,150.06671,2.3823645,Gianh
38,757396,150.06913308607335,2.3841610345687587,150.06671,2.3823645,Gianh
40,757532,150.06768160089132,2.386281173518392,150.06671,2.3823645,Gianh
41,757782,150.11196858657198,2.3726263647783283,150.11256,2.3765266,Bach-Dang
42,757887,150.10664688939997,2.375719379573428,150.106932,2.377961,Saigon
43,757931,150.10918777298713,2.375226074138221,150.11256,2.3765266,Bach-Dang
44,757934,150.1101663695413,2.3749973515267655,150.11256,2.3765266,Bach-Dang
45,757952,150.10897470294483,2.375809294827654,150.11256,2.3765266,Bach-Dang
46,757967,150.11326871755142,2.3742890619647774,150.11256,2.3765266,Bach-Dang
49,758032,150.10580609075402,2.3777462755705865,150.106932,2.377961,Saigon
50,758035,150.1123643250359,2.3752430401218683,150.11256,2.3765266,Bach-Dang
52,758076,150.10953826943546,2.377001819803952,150.11256,2.3765266,Bach-Dang
53,758096,150.11126384775153,2.3764714522002772,150.11256,2.3765266,Bach-Dang
57,758165,150.11390154536844,2.3758158682524453,150.11256,2.3765266,Bach-Dang
61,758360,150.1058569097697,2.3814393845042963,150.106932,2.377961,Saigon
64,758998,150.08579200248414,2.3943724146574143,150.08728,2.3960431,Ben-Hai
65,759298,150.08820671998814,2.396009502751366,150.08728,2.3960431,Ben-Hai
66,759545,150.09105187207905,2.397342938393995,150.08728,2.3960431,Ben-Hai
67,759592,150.09054729822762,2.3979904484302152,150.08728,2.3960431,Ben-Hai
68,759715,150.0893659244597,2.398986589868576,150.08728,2.3960431,Ben-Hai
82,776150,150.1100102374415,2.3272063487834376,150.108873,2.330539,Tien
69,780235,150.05943909264596,2.375863016109413,150.06149,2.37868,Hong
70,780261,150.0626841547331,2.3749051660938827,150.06149,2.37868,Hong
23,780365,150.06153212035937,2.376173022210842,150.06149,2.37868,Hong
71,780483,150.06236486375678,2.376784594015073,150.06149,2.37868,Hong
72,780489,150.06134665942264,2.37719610764105,150.06149,2.37868,Hong
73,780882,150.06178876001465,2.379930764519085,150.06149,2.37868,Hong
74,781056,150.0635003297284,2.380535241838231,150.06149,2.37868,Hong
75,781069,150.06649015613831,2.379530812936523,150.06671,2.3823645,Gianh
32,781337,150.06623935179212,2.381809889201619,150.06671,2.3823645,Gianh
36,781608,150.06928050048967,2.382870175642749,150.06671,2.3823645,Gianh
39,781836,150.0685381202546,2.385034426633675,150.06671,2.3823645,Gianh
76,781863,150.06864545205278,2.3852118159252584,150.06671,2.3823645,Gianh
47,782581,150.10481378947452,2.377605013823153,150.106932,2.377961,Saigon
77,782619,150.11125620650014,2.375525831626851,150.11256,2.3765266,Bach-Dang
48,782661,150.1044224237913,2.3782548565703574,150.106932,2.377961,Saigon
51,782740,150.11302026415436,2.3757118069406915,150.11256,2.3765266,Bach-Dang
55,782821,150.1049509324684,2.379196166746342,150.106932,2.377961,Saigon
54,782838,150.103934958902,2.3796518442870846,150.106932,2.377961,Saigon
56,782882,150.10779838777322,2.378426740602212,150.106932,2.377961,Saigon
58,783186,150.11093132343476,2.379486044103596,150.11256,2.3765266,Bach-Dang
59,783189,150.1124583344909,2.378998318019115,150.11256,2.3765266,Bach-Dang
60,783197,150.1075471995525,2.3808018070753794,150.106932,2.377961,Saigon
62,783240,150.11394179977952,2.37882302056198,150.11256,2.3765266,Bach-Dang
63,783322,150.10754056654145,2.3817835638181157,150.106932,2.377961,Saigon
78,783941,150.0863761118647,2.3939219795448574,150.08728,2.3960431,Ben-Hai
79,784483,150.0862029580698,2.39798875279023,150.08728,2.3960431,Ben-Hai
80,799188,150.10726620336257,2.3269187534560607,150.108873,2.330539,Tien
81,799221,150.10753675850606,2.3272260176740813,150.108873,2.330539,Tien
84,799360,150.10610999420282,2.329316574089923,150.108873,2.330539,Tien
85,799493,150.1063048600978,2.3304915191712063,150.108873,2.330539,Tien
87,799560,150.1091799281336,2.330055184113188,150.108873,2.330539,Tien
88,799665,150.10997387426931,2.3304866858628985,150.108873,2.330539,Tien
89,799673,150.11206372304088,2.3297725667349685,150.108873,2.330539,Tien
90,799674,150.1052183479444,2.3322959452940717,150.108873,2.330539,Tien
91,799686,150.10968032171294,2.3307027032162373,150.108873,2.330539,Tien
95,799885,150.10941261471768,2.3326436159176893,150.108873,2.330539,Tien
97,799944,150.1075525975699,2.3338702225050696,150.108873,2.330539,Tien
98,799949,150.10932302601813,2.333293096860275,150.108873,2.330539,Tien
99,799972,150.10814948725633,2.3338851944262964,150.108873,2.330539,Tien
101,804680,150.115654364856,2.376013410797952,150.11256,2.3765266,Bach-Dang
102,804711,150.11633836014911,2.3760198194938944,150.11256,2.3765266,Bach-Dang
83,823354,150.10960524921262,2.327322753459651,150.108873,2.330539,Tien
103,823447,150.10981984848073,2.327905841993534,150.108873,2.330539,Tien
104,823557,150.1119560696683,2.3279757981699576,150.108873,2.330539,Tien
86,823690,150.1120102610887,2.3289310700163073,150.108873,2.330539,Tien
105,823796,150.10629438436348,2.3319135504529225,150.108873,2.330539,Tien
106,823832,150.11208669907273,2.33008256924072,150.108873,2.330539,Tien
92,823841,150.1102138769493,2.33081093948146,150.108873,2.330539,Tien
93,823918,150.1127485523823,2.3304736511832824,150.108873,2.330539,Tien
94,823998,150.10656035835868,2.333422717830832,150.108873,2.330539,Tien
96,824034,150.1080009297445,2.3331805218045623,150.108873,2.330539,Tien
107,824112,150.11014569149668,2.332911034547975,150.108873,2.330539,Tien
108,824190,150.10829410939476,2.3342329690674974,150.108873,2.330539,Tien
100,830212,150.11557372972436,2.3747596602448997,150.11256,2.3765266,Bach-Dang
109,830422,150.11659911647058,2.375748915229638,150.11256,2.3765266,Bach-Dang
110,830622,150.11652722148708,2.376904565646679,150.11256,2.3765266,Bach-Dang
