,ID,RA,Dec,redshift,M_gal,host_ID,host_RA,host_Dec,host_redshift
1241665,14629508,0.44564012464459324,-0.384443956127613,2.1374408176746447,3422344424.1305346,14698440.0,0.4478298532141056,-0.3813138502700812,2.2500425533108417
1310580,14698423,0.4477626896675052,-0.3797810982653922,2.2496525299422503,2339113576.714721,14698440.0,0.4478298532141056,-0.3813138502700812,2.2500425533108417
3433307,16821150,0.45147486299874917,-0.38259960222278755,2.5841054937733587,1181753337.31777,14698440.0,0.4478298532141056,-0.3813138502700812,2.2500425533108417
1160022,14547865,-0.3409398828220417,0.47070058984780283,2.1780874362995384,17746520509.652275,14547846.0,-0.33992437243574175,0.47133638660310484,2.178209222801104
1446309,14834152,0.10766241397474285,-0.38197945832374264,2.2349761647583355,13967744302.70919,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221527,15609370,0.10652588479477931,-0.3808609482481421,2.4051576090392546,6312913773.714888,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221528,15609371,0.10669787991684476,-0.38103001011699866,2.405103152685199,1403333291.0073307,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221530,15609373,0.10642262634267674,-0.38045291687125216,2.4050047947251842,6015812702.091577,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221556,15609399,0.10978773864900171,-0.38053686002801934,2.4048962957503264,2735543361.8400745,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2239945,15627788,0.10913040059285473,-0.383507650275399,2.4155994312139932,3256206767.377317,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
3061318,16449161,0.10480971311630849,-0.3824697333705148,2.493426575411898,1401787551.9476163,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
4363593,17751436,0.10772256218475706,-0.37962765460439707,2.829700748078181,2827684717.2111,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
4853117,18240960,0.10527633241563206,-0.3772573243074334,2.88526590277555,1351054215.5423872,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
4600276,17988119,-0.2508703681173176,0.3045679831062753,2.920389889349752,6261579537.875706,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
4600278,17988121,-0.25077325751205093,0.30504128480625636,2.9203978331605844,1342276509.3570387,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
7284971,20672814,-0.25240274163636867,0.30836902773947494,3.3750473656736166,23566597648.45761,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
7284980,20672823,-0.2474930934438322,0.30876799526193255,3.3753453121610937,1326329453.3530881,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
7285049,20672892,-0.2516314731907139,0.3075140179631899,3.375302548107681,2766648803.877853,20672809.0,-0.24983641233202286,0.30801933081691824,3.3751092841652484
425344,13813187,-0.39333037431698037,-0.32008886936851244,2.0520871925100512,7139761910.957054,14645056.0,-0.39275820572053766,-0.323627527995805,2.128644775678475
425388,13813231,-0.3926507689309271,-0.3211773439980326,2.052911314100838,3104893864.7970295,14645056.0,-0.39275820572053766,-0.323627527995805,2.128644775678475
2243912,15631755,-0.3938522692797757,-0.3265287477701365,2.4165033664737363,1596323911.6620195,14645056.0,-0.39275820572053766,-0.323627527995805,2.128644775678475
1456655,14844498,-0.021748022996703087,0.41264515654866996,2.2337430121511392,10391641484.969528,14844409.0,-0.024376923323196575,0.4134721454000758,2.233264082941516
2276172,15664015,-0.02449861972194889,0.41390191755796524,2.4748900137072263,2361125172.656424,14844409.0,-0.024376923323196575,0.4134721454000758,2.233264082941516
549613,13937456,-0.49481527718041096,0.38245359159176295,2.074379456303007,1585084155.994023,13937445.0,-0.4948001283168816,0.38269556581592135,2.074393289957357
1117527,14505370,0.42904096155884164,-0.23192361132414058,2.177507527456779,1160361992.5718546,13831176.0,0.42975751861686917,-0.229518565695907,2.067945588915279
2960160,16348003,0.42753786938383365,-0.23102885622585168,2.5190950300190784,1390320250.57999,13831176.0,0.42975751861686917,-0.229518565695907,2.067945588915279
374790,13762633,0.0295811070965174,0.45051945486992795,2.045616366514038,1556925959.4937816,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
374803,13762646,0.029328487181037866,0.4500851674964468,2.04569975822064,20161386306.05361,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
394881,13782724,0.02841935029262943,0.4482359854007719,2.0461646556651685,1179182599.7425256,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
2976821,16364664,0.030384324828354403,0.4500578952004498,2.521695169973228,6670463191.302497,13762614.0,0.029078630004027772,0.44979016837680685,2.045768283902376
3822188,17210031,-0.10789437558100767,-0.06751056627458363,2.6755437582175463,1023252296.4467262,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
3822190,17210033,-0.10946787755511478,-0.06435872458749847,2.675890171996325,3643246346.383499,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
3822210,17210053,-0.1089108809190843,-0.07073351490552388,2.675132324630796,4259031050.742481,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
5305600,18693443,-0.11148854575349437,-0.06841795844204568,3.1168747415581874,6604302457.014038,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
5305603,18693446,-0.11058010963903991,-0.06778517000326839,3.117093511730717,1192938872.3468297,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
5305638,18693481,-0.10760083360361172,-0.06891624059331353,3.117263105786848,2371953532.684112,17210014.0,-0.1079354570390682,-0.06670300028053833,2.675787358010623
6848743,20236586,-0.2874372547851577,-0.39870037516566914,3.506729902632592,1328275707.5780945,21928350.0,-0.29050016067157736,-0.397635278337528,3.927232828715325
8206633,21594476,-0.2875701828029884,-0.3949856414651128,3.6794497971302658,1007067111.7915055,21928350.0,-0.29050016067157736,-0.397635278337528,3.927232828715325
8540508,21928351,-0.28999051822731453,-0.39847025193816416,3.92729868175529,1594139167.93759,21928350.0,-0.29050016067157736,-0.397635278337528,3.927232828715325
3544493,16932336,0.4495346265939856,-0.015144663345871778,2.6226209234786166,16453124739.737926,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
3927814,17315657,0.45627477027797003,-0.012911751270198946,2.703102091869661,1775718895.5899198,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
3927825,17315668,0.4565592212787192,-0.014965357587180594,2.7029669557535736,2386781675.940648,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
4531130,17918973,0.45215546505239956,-0.015313710835851813,2.9348415399715857,3577396926.737541,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
4531168,17919011,0.45608618074793084,-0.01459322828075349,2.9349678972566644,1066704424.6730226,17918944.0,0.4525602900900594,-0.014405229183857393,2.9347308960821414
11091845,24479688,-0.29772774200593377,0.1905853025722981,4.707826590517533,1000837701.2984375,25030975.0,-0.29755034545675496,0.1924373436250476,4.55012145077416
4065036,17452879,0.4329341116304892,-0.39369658040212335,2.76590278940944,4075464823.96654,17914478.0,0.43284982916952275,-0.39771883682660203,2.937494610062992
8596875,21984718,-0.30852190597597906,-0.21849793265736428,3.7510854274830843,2296755568.2889266,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827285,23215128,-0.30626928447839513,-0.21277505892619064,3.991192203795124,5777820954.704929,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827286,23215129,-0.3074207663323749,-0.2121587049659412,3.9913925300151054,3356452595.704546,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827289,23215132,-0.30679748099128273,-0.2127700780936953,3.991112409612156,2550308694.084596,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827364,23215207,-0.3102690501825187,-0.21793854987435496,3.9894016868256332,1438799515.5279634,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
9827371,23215214,-0.3098412487494961,-0.21698236706768936,3.9901518150360715,1746503452.1053033,23215110.0,-0.3091446219398717,-0.21458808280510488,3.990923301023512
6852645,20240488,-0.1048455169998474,-0.45371172827163625,3.5117339980646687,4734962383.276332,20870466.0,-0.1073378461069861,-0.45681554416099907,3.6040887651289606
7001217,20389060,-0.10681514709627787,-0.4583492151030487,3.4120343075887707,1031041010.5122907,20870466.0,-0.1073378461069861,-0.45681554416099907,3.6040887651289606
7482624,20870467,-0.10722823145525379,-0.456938395615588,3.604086350245135,2216624705.2800546,20870466.0,-0.1073378461069861,-0.45681554416099907,3.6040887651289606
115740,13443316,0.23688767661006982,-0.10434910710925133,2.0410582273387043,49007753758.63322,15304338.0,0.2368879249834015,-0.10098656368878922,2.2904329084785244
1916509,15304352,0.23702494486014536,-0.10077442584253687,2.290243681588827,1894408249.5587206,15304338.0,0.2368879249834015,-0.10098656368878922,2.2904329084785244
3238021,16625864,0.24051562399674342,-0.1018307528732848,2.533750617250747,1066361258.2345161,15304338.0,0.2368879249834015,-0.10098656368878922,2.2904329084785244
5358734,18746577,0.41122104258023595,-0.15141005093023668,3.095500302512493,1736384630.3421595,21301357.0,0.41022292504138524,-0.14770638732385527,3.5566770632940594
7124619,20512462,0.40671387073618004,-0.14888285070620816,3.493703412755217,1022200740.6821902,21301357.0,0.41022292504138524,-0.14770638732385527,3.5566770632940594
7913467,21301310,0.4139576605133142,-0.14750863356782468,3.5586218528812332,1576018610.0798335,21301357.0,0.41022292504138524,-0.14770638732385527,3.5566770632940594
7913530,21301373,0.409547577170866,-0.14848734288541832,3.556672960920914,2041356370.4317827,21301357.0,0.41022292504138524,-0.14770638732385527,3.5566770632940594
8086889,21474732,0.40818815692722443,-0.14509576718539818,3.64616564997284,10477242362.505997,21301357.0,0.41022292504138524,-0.14770638732385527,3.5566770632940594
8462126,21849969,0.4087410502128196,-0.1505793693016445,3.785640650299821,1196486486.8344631,21301357.0,0.41022292504138524,-0.14770638732385527,3.5566770632940594
9822282,23210125,0.40848839357147504,-0.14810737322243123,3.9998833903866062,9743017580.331362,21301357.0,0.41022292504138524,-0.14770638732385527,3.5566770632940594
1238014,14625857,0.3100950718134079,-0.39601467149294733,2.1316806774917607,12276938538.671473,14700201.0,0.31161076316860514,-0.39444351625646,2.2500118292659934
1312370,14700213,0.3113570793296466,-0.39362908356266435,2.249981960141287,26057452329.686443,14700201.0,0.31161076316860514,-0.39444351625646,2.2500118292659934
1312392,14700235,0.3119481412437194,-0.39630941873957143,2.2497015363199946,2376710152.418918,14700201.0,0.31161076316860514,-0.39444351625646,2.2500118292659934
642056,14029899,0.0760410054167483,-0.18649650791407518,2.176206609367152,1367888369.3085983,14029893.0,0.07282536154822028,-0.1855040787698194,2.1762754544319822
642074,14029917,0.07169113090242962,-0.18485064572423832,2.1762981764302283,8313061621.729523,14029893.0,0.07282536154822028,-0.1855040787698194,2.1762754544319822
960171,14348014,-0.30216950394116837,0.0014796414413343895,2.1403614886338733,8794126407.93907,15033916.0,-0.30173226294878686,0.0015896561654636931,2.3008193000950983
960178,14348021,-0.3029168087553788,0.001965906337149992,2.1404552256015044,2270634026.232451,15033916.0,-0.30173226294878686,0.0015896561654636931,2.3008193000950983
1252247,14640090,-0.29896776916809187,-0.0013025147059568254,2.131997861277945,4562754974.667874,15033916.0,-0.30173226294878686,0.0015896561654636931,2.3008193000950983
1646076,15033919,-0.30065197269394084,0.0014837809482360909,2.3008434006568392,27888679312.248016,15033916.0,-0.30173226294878686,0.0015896561654636931,2.3008193000950983
3125823,16513666,-0.30397139726668815,0.004760067456079153,2.599869615174975,1573694293.7583055,15033916.0,-0.30173226294878686,0.0015896561654636931,2.3008193000950983
3707089,17094932,-0.29967035839317624,0.0013435597766728868,2.736357449423597,1049666983.8761041,15033916.0,-0.30173226294878686,0.0015896561654636931,2.3008193000950983
3726449,17114292,-0.30065228069366556,-0.0023620678262681882,2.726018292529265,4835778034.275254,15033916.0,-0.30173226294878686,0.0015896561654636931,2.3008193000950983
6704660,20092503,0.07367018912804346,0.10509837469402528,3.3233925384883167,2609180480.901729,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
6751825,20139668,0.07031168379241104,0.09878541891421588,3.424853995128548,2328396307.0009465,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
7630912,21018755,0.07284094690623966,0.10082485524248797,3.53333936493114,1811579645.4225283,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
7842829,21230672,0.07508109149687858,0.10274025134621412,3.61338095149293,2070719845.4900527,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
7961465,21349308,0.07037536273783107,0.09901405318416434,3.5709732230021882,2954688272.5323234,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
7961470,21349313,0.07048510052109924,0.10000196726731947,3.5710184280511026,1469611900.1875088,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
7961492,21349335,0.07248368381987891,0.1041027051604353,3.5684308532587248,1451208190.5012932,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
8630972,22018815,0.07583825151390855,0.10327808921865056,3.769412210269937,1121157546.3109157,21018736.0,0.07368129119229017,0.10110296076520509,3.5335900695717872
1928889,15316732,-0.2980405988008648,-0.15673274428797518,2.285421746817544,6018669587.384977,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
1928915,15316758,-0.2989732151686689,-0.15815792094441772,2.2851494385960205,1232648540.3394248,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
2203399,15591242,-0.2952459964962687,-0.158770531415663,2.405329457192434,1110651968.1877656,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
3949470,17337313,-0.2940128764234949,-0.1586304791473923,2.645791200068275,4052724308.600336,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
3949587,17337430,-0.2944880746902363,-0.15557980198229127,2.6389043910875767,2332223271.5363007,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
3949605,17337448,-0.29769481005191323,-0.15475361681660038,2.638173501948201,3250001204.6085825,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
3949639,17337482,-0.2983030301290327,-0.15715369333671592,2.6385660000835727,5205872079.537636,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
3949879,17337722,-0.29904943756900115,-0.1551944266782429,2.6463568337733303,3852547729.821237,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
4451280,17839123,-0.29774060964712573,-0.15908448399628278,2.8149643334303014,3984453240.906616,15591226.0,-0.2960740501707412,-0.15777684204733272,2.405349877494108
1858205,15246048,-0.14334217605169675,0.3218077552980422,2.2907584437881146,9409279000.109314,15246022.0,-0.14506554951051276,0.32052905080820293,2.290641879497904
1858240,15246083,-0.14669223879084975,0.3180903118099474,2.2905456919946947,9836689254.453442,15246022.0,-0.14506554951051276,0.32052905080820293,2.290641879497904
1858242,15246085,-0.14662924015266682,0.3180518403806192,2.290549975259785,1692703069.570824,15246022.0,-0.14506554951051276,0.32052905080820293,2.290641879497904
2912042,16299885,-0.1446977200458197,0.31825905182749925,2.503953586449709,1239103389.741364,15246022.0,-0.14506554951051276,0.32052905080820293,2.290641879497904
3900713,17288556,-0.14289723401106807,0.32373244754506436,2.7178242195787883,2234273999.642933,15246022.0,-0.14506554951051276,0.32052905080820293,2.290641879497904
3377727,16765570,-0.23653348731985235,0.40985231562995916,2.5643468175474444,1019202395.5268258,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
3411278,16799121,-0.23932134560991408,0.41190740985222096,2.5697494959986247,1014712799.6829773,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
3562265,16950108,-0.23972597375699028,0.4083997813912408,2.6268735218190016,1435906020.6379843,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
3883105,17270948,-0.2362271800450002,0.41423601741688976,2.7018131014036424,12984188936.543262,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
3883109,17270952,-0.23747928446700112,0.41428238528815076,2.70165138775878,6026887157.9874525,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
4489898,17877741,-0.23876440370379992,0.4109543867176366,2.9534633949134825,3009474748.7712364,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
4489902,17877745,-0.23841495322084272,0.41084484528030385,2.9534366614708327,10999772176.468925,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
4692020,18079863,-0.24196848807790788,0.4107875408445756,2.8605670604781417,2506344923.1458664,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
6672920,20060763,-0.23837449370775687,0.4147917737653284,3.3275411317276262,1382566401.5011222,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
6673190,20061033,-0.23789639171229743,0.41198308870467804,3.3275309533865918,2943957295.1083965,17877738.0,-0.2387525494655201,0.41106278846318256,2.9534720508139487
365506,13753349,0.10357401321477022,-0.1552675133523067,2.0525418075295288,3029410494.29971,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
887400,14275243,0.10469093887196546,-0.15691758941917772,2.1435864744638344,20570024286.084087,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
2335426,15723269,0.10540087176758806,-0.15667879873446294,2.463854766816944,5580974968.74478,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
2335428,15723271,0.10493461497961765,-0.15657308089662447,2.463886392875476,1476917889.9778445,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
2438371,15826214,0.10413898336457239,-0.1580851379817388,2.374637208295989,1626111230.6454718,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
2438380,15826223,0.1038271325203105,-0.15933170439569144,2.374714813174882,1113272489.380247,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
2438404,15826247,0.10308193860350034,-0.15771312490251804,2.374697029061236,1752233213.2385514,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
2438535,15826378,0.1040783696181179,-0.15782210037208722,2.3740474121075126,4995359028.401259,15826202.0,0.1032361578341966,-0.15769109337669296,2.37469245524091
7444271,20832114,0.46831130287509204,0.4625387293653048,3.4611243794382416,8864102518.382875,20832108.0,0.4678720561539892,0.46275208440172677,3.4610701861179884
7444280,20832123,0.4662422106722488,0.4639136030122252,3.4612287593153632,1600536692.6482942,20832108.0,0.4678720561539892,0.46275208440172677,3.4610701861179884
7444295,20832138,0.4693732410797141,0.46131238276849185,3.46133132612563,1304644791.989348,20832108.0,0.4678720561539892,0.46275208440172677,3.4610701861179884
7444314,20832157,0.4705048243650152,0.4610235701976464,3.461066498994146,2187793708.732691,20832108.0,0.4678720561539892,0.46275208440172677,3.4610701861179884
7444338,20832181,0.46993633579071636,0.4610461755629921,3.4616176363883366,2780065396.682564,20832108.0,0.4678720561539892,0.46275208440172677,3.4610701861179884
1493648,14881491,0.4780707499545319,0.19853902960648973,2.2321390703333863,1263324198.3484855,16560899.0,0.4768377996999188,0.19563087608062246,2.607839468033953
3173058,16560901,0.4776787275815456,0.19521863627355007,2.6079071305770376,7780199556.351913,16560899.0,0.4768377996999188,0.19563087608062246,2.607839468033953
3788525,17176368,0.4786924394709128,0.19888700822407712,2.6695125712865586,1908628697.2986505,16560899.0,0.4768377996999188,0.19563087608062246,2.607839468033953
318855,13694026,-0.4579834367151356,0.14300483868039127,2.0064546283831253,1069209970.2450739,13694017.0,-0.4570150813147794,0.14403468296586808,2.0065064870645344
318881,13694052,-0.4587095499356768,0.14391567714117037,2.0065526991137643,1302358700.050499,13694017.0,-0.4570150813147794,0.14403468296586808,2.0065064870645344
318886,13694057,-0.45427121155629496,0.14381324275471308,2.0066132625221247,12657104549.90198,13694017.0,-0.4570150813147794,0.14403468296586808,2.0065064870645344
318896,13694067,-0.45564050208654927,0.14494935102820117,2.006423717827021,31452819681.44094,13694017.0,-0.4570150813147794,0.14403468296586808,2.0065064870645344
318904,13694075,-0.45846649157619396,0.14478739121175455,2.006296201117994,3304655056.8022733,13694017.0,-0.4570150813147794,0.14403468296586808,2.0065064870645344
1744676,15132519,-0.45905226268633115,0.14407086311849204,2.3232006601017816,2359596435.6555243,13694017.0,-0.4570150813147794,0.14403468296586808,2.0065064870645344
