,id,ra,dec,host_ra,host_dec,host_name,our_id,nbr_name
0,614117,150.43479151899297,2.462610033641731,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX1
1,614192,150.45092213957858,2.457498557540355,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX1
2,614284,150.43990467873942,2.4623422303607203,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX2
3,614318,150.4394527848457,2.4628028773507977,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX3
4,614521,150.43498609478053,2.46606877397473,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX4
5,614660,150.44101910900008,2.4649617170321125,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX5
6,641810,150.43924907274896,2.46244229395118,150.43732,2.46392,Huong-Giang,4,Huong-Giang HX6
7,659472,150.4575985430771,2.4278950017000698,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX1
8,659600,150.46222769569133,2.427492272478133,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX2
9,659694,150.45751775491104,2.4299732506506024,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX3
10,659753,150.4637808709928,2.42827097899633,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX4
11,659914,150.45999500331462,2.4311550253085614,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX5
12,661790,150.4580297516717,2.453779059568166,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX2
13,661825,150.4558145351515,2.4550570934000135,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX3
14,661910,150.4526701569536,2.457093661985949,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX4
15,662039,150.4542304119719,2.4577650030961555,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX5
16,662092,150.4525310883153,2.4589724609656347,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX6
17,680426,150.4603440825616,2.4261831506570615,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX6
18,680812,150.45722066297657,2.430475040132897,150.4612,2.429547,Dong-Nai,6,Dong-Nai HX7
19,683386,150.457598919319,2.4537255089481955,150.45459,2.455994,Thu-Bon,5,Thu-Bon HX7
20,756228,150.06120015783387,2.3746272682231964,150.06149,2.37868,Hong,0,Hong HX1
21,756324,150.0621863944692,2.3752308893787197,150.06149,2.37868,Hong,0,Hong HX2
22,756381,150.05860749592134,2.377135428809643,150.06149,2.37868,Hong,0,Hong HX3
23,756542,150.06446107839014,2.3764584982060812,150.06149,2.37868,Hong,0,Hong HX4
24,756791,150.0621220714542,2.3799503830621935,150.06149,2.37868,Hong,0,Hong HX5
25,756809,150.06204554243652,2.38006265694344,150.06149,2.37868,Hong,0,Hong HX6
26,756931,150.06130922780542,2.381544864044232,150.06149,2.37868,Hong,0,Hong HX7
27,756960,150.06632922505685,2.3801244793529985,150.06671,2.3823645,Gianh,2,Gianh HX1
28,756994,150.06579346486325,2.3807226965383426,150.06671,2.3823645,Gianh,2,Gianh HX2
29,757025,150.06659803361558,2.380855916549581,150.06671,2.3823645,Gianh,2,Gianh HX3
30,757035,150.06993613998245,2.3798080412536575,150.06671,2.3823645,Gianh,2,Gianh HX4
31,757177,150.06794106365746,2.3821448528082114,150.06671,2.3823645,Gianh,2,Gianh HX5
32,757208,150.06760167862964,2.3826430325056793,150.06671,2.3823645,Gianh,2,Gianh HX6
33,757258,150.07053504067514,2.3820629724575646,150.06671,2.3823645,Gianh,2,Gianh HX7
34,757350,150.0702960222559,2.3830360206853185,150.06671,2.3823645,Gianh,2,Gianh HX8
35,757396,150.06913308607335,2.3841610345687587,150.06671,2.3823645,Gianh,2,Gianh HX9
36,757532,150.06768160089132,2.386281173518392,150.06671,2.3823645,Gianh,2,Gianh HX10
37,757782,150.11196858657198,2.3726263647783283,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX1
38,757887,150.10664688939997,2.375719379573428,150.106932,2.377961,Saigon,7,Saigon HX1
39,757931,150.10918777298713,2.375226074138221,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX2
40,757934,150.1101663695413,2.3749973515267655,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX3
41,757952,150.10897470294483,2.375809294827654,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX4
42,757967,150.11326871755142,2.3742890619647774,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX5
43,758032,150.10580609075402,2.3777462755705865,150.106932,2.377961,Saigon,7,Saigon HX2
44,758035,150.1123643250359,2.3752430401218683,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX6
45,758076,150.10953826943546,2.377001819803952,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX7
46,758096,150.11126384775153,2.3764714522002772,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX8
47,758165,150.11390154536844,2.3758158682524453,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX9
48,758360,150.1058569097697,2.3814393845042963,150.106932,2.377961,Saigon,7,Saigon HX3
49,758998,150.08579200248414,2.3943724146574143,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX1
50,759298,150.08820671998814,2.396009502751366,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX2
51,759545,150.09105187207905,2.397342938393995,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX3
52,759592,150.09054729822762,2.3979904484302152,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX4
53,759715,150.0893659244597,2.398986589868576,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX5
54,776150,150.1100102374415,2.3272063487834376,150.108873,2.330539,Tien,8,Tien HX1
55,780235,150.05943909264596,2.375863016109413,150.06149,2.37868,Hong,0,Hong HX8
56,780261,150.0626841547331,2.3749051660938827,150.06149,2.37868,Hong,0,Hong HX9
57,780365,150.06153212035937,2.376173022210842,150.06149,2.37868,Hong,0,Hong HX10
58,780483,150.06236486375678,2.376784594015073,150.06149,2.37868,Hong,0,Hong HX11
59,780489,150.06134665942264,2.37719610764105,150.06149,2.37868,Hong,0,Hong HX12
60,780882,150.06178876001465,2.379930764519085,150.06149,2.37868,Hong,0,Hong HX13
61,781056,150.0635003297284,2.380535241838231,150.06149,2.37868,Hong,0,Hong HX14
62,781069,150.06649015613831,2.379530812936523,150.06671,2.3823645,Gianh,2,Gianh HX11
63,781337,150.06623935179212,2.381809889201619,150.06671,2.3823645,Gianh,2,Gianh HX12
64,781608,150.06928050048967,2.382870175642749,150.06671,2.3823645,Gianh,2,Gianh HX13
65,781836,150.0685381202546,2.385034426633675,150.06671,2.3823645,Gianh,2,Gianh HX14
66,781863,150.06864545205278,2.3852118159252584,150.06671,2.3823645,Gianh,2,Gianh HX15
67,782581,150.10481378947452,2.377605013823153,150.106932,2.377961,Saigon,7,Saigon HX4
68,782619,150.11125620650014,2.375525831626851,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX10
69,782661,150.1044224237913,2.3782548565703574,150.106932,2.377961,Saigon,7,Saigon HX5
70,782740,150.11302026415436,2.3757118069406915,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX11
71,782821,150.1049509324684,2.379196166746342,150.106932,2.377961,Saigon,7,Saigon HX6
72,782838,150.103934958902,2.3796518442870846,150.106932,2.377961,Saigon,7,Saigon HX7
73,782882,150.10779838777322,2.378426740602212,150.106932,2.377961,Saigon,7,Saigon HX8
74,783186,150.11093132343476,2.379486044103596,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX12
75,783189,150.1124583344909,2.378998318019115,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX13
76,783197,150.1075471995525,2.3808018070753794,150.106932,2.377961,Saigon,7,Saigon HX9
77,783240,150.11394179977952,2.37882302056198,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX14
78,783322,150.10754056654145,2.3817835638181157,150.106932,2.377961,Saigon,7,Saigon HX10
79,783941,150.0863761118647,2.3939219795448574,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX6
80,784483,150.0862029580698,2.39798875279023,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX7
81,799188,150.10726620336257,2.3269187534560607,150.108873,2.330539,Tien,8,Tien HX2
82,799221,150.10753675850606,2.3272260176740813,150.108873,2.330539,Tien,8,Tien HX3
83,799360,150.10610999420282,2.329316574089923,150.108873,2.330539,Tien,8,Tien HX4
84,799493,150.1063048600978,2.3304915191712063,150.108873,2.330539,Tien,8,Tien HX5
85,799560,150.1091799281336,2.330055184113188,150.108873,2.330539,Tien,8,Tien HX6
86,799665,150.10997387426931,2.3304866858628985,150.108873,2.330539,Tien,8,Tien HX7
87,799673,150.11206372304088,2.3297725667349685,150.108873,2.330539,Tien,8,Tien HX8
88,799674,150.1052183479444,2.3322959452940717,150.108873,2.330539,Tien,8,Tien HX9
89,799686,150.10968032171294,2.3307027032162373,150.108873,2.330539,Tien,8,Tien HX10
90,799885,150.10941261471768,2.3326436159176893,150.108873,2.330539,Tien,8,Tien HX11
91,799944,150.1075525975699,2.3338702225050696,150.108873,2.330539,Tien,8,Tien HX12
92,799949,150.10932302601813,2.333293096860275,150.108873,2.330539,Tien,8,Tien HX13
93,799972,150.10814948725633,2.3338851944262964,150.108873,2.330539,Tien,8,Tien HX14
94,804680,150.115654364856,2.376013410797952,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX15
95,804711,150.11633836014911,2.3760198194938944,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX16
96,823354,150.10960524921262,2.327322753459651,150.108873,2.330539,Tien,8,Tien HX15
97,823447,150.10981984848073,2.327905841993534,150.108873,2.330539,Tien,8,Tien HX16
98,823557,150.1119560696683,2.3279757981699576,150.108873,2.330539,Tien,8,Tien HX17
99,823690,150.1120102610887,2.3289310700163073,150.108873,2.330539,Tien,8,Tien HX18
100,823796,150.10629438436348,2.3319135504529225,150.108873,2.330539,Tien,8,Tien HX19
101,823832,150.11208669907273,2.33008256924072,150.108873,2.330539,Tien,8,Tien HX20
102,823841,150.1102138769493,2.33081093948146,150.108873,2.330539,Tien,8,Tien HX21
103,823918,150.1127485523823,2.3304736511832824,150.108873,2.330539,Tien,8,Tien HX22
104,823998,150.10656035835868,2.333422717830832,150.108873,2.330539,Tien,8,Tien HX23
105,824034,150.1080009297445,2.3331805218045623,150.108873,2.330539,Tien,8,Tien HX24
106,824112,150.11014569149668,2.332911034547975,150.108873,2.330539,Tien,8,Tien HX25
107,824190,150.10829410939476,2.3342329690674974,150.108873,2.330539,Tien,8,Tien HX26
108,830212,150.11557372972436,2.3747596602448997,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX17
109,830422,150.11659911647058,2.375748915229638,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX18
110,830622,150.11652722148708,2.376904565646679,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX19
